hashtag,minute_start,count
#drink,2014-09-10 11:10:00+0100,1
#pink,2014-09-10 11:10:00+0100,1
#انهيار,2014-09-10 11:10:00+0100,1
#Libya,2014-09-10 11:10:00+0100,2
#あれ？((,2014-09-10 11:10:00+0100,1
#porngifs,2014-09-10 11:10:00+0100,1
#Thriller,2014-09-10 11:10:00+0100,1
#inst…,2014-09-10 11:10:00+0100,1
#MG,2014-09-10 11:10:00+0100,1
#MazeRunner,2014-09-10 11:10:00+0100,1
#tetas,2014-09-10 11:10:00+0100,1
#Celebrity,2014-09-10 11:10:00+0100,1
#porngif6,2014-09-10 11:10:00+0100,1
#art,2014-09-10 11:10:00+0100,1
#ContestAlert,2014-09-10 11:10:00+0100,1
#تويبر,2014-09-10 11:10:00+0100,2
#FOLLOW,2014-09-10 11:10:00+0100,1
#EXOPlanetinBKK,2014-09-10 11:10:00+0100,1
#etsybot2,2014-09-10 11:10:00+0100,1
#astronomy,2014-09-10 11:10:00+0100,1
#خطابة_الرياض,2014-09-10 11:10:00+0100,1
#الاحساء,2014-09-10 11:10:00+0100,1
#meetsapp,2014-09-10 11:10:00+0100,1
#Momentaufnahme,2014-09-10 11:10:00+0100,1
#appointmentsetting,2014-09-10 11:10:00+0100,1
#สิ้นหวังแล้ว,2014-09-10 11:10:00+0100,1
#Hockeyfest,2014-09-10 11:10:00+0100,1
#MonsterMMORPG,2014-09-10 11:10:00+0100,1
#الدنيا,2014-09-10 11:10:00+0100,1
"#ipadgames,",2014-09-10 11:10:00+0100,5
#final,2014-09-10 11:10:00+0100,1
#Retweet,2014-09-10 11:10:00+0100,1
#роспись,2014-09-10 11:10:00+0100,1
#الله_يلطف_بإخوتنا_في_غزة,2014-09-10 11:10:00+0100,1
#PLO,2014-09-10 11:10:00+0100,1
#woman,2014-09-10 11:10:00+0100,1
#netneutrality,2014-09-10 11:10:00+0100,1
"#ipad,",2014-09-10 11:10:00+0100,5
#B,2014-09-10 11:10:00+0100,1
#RemajaIndonesia,2014-09-10 11:10:00+0100,1
#XXX,2014-09-10 11:10:00+0100,1
#CoroCoro,2014-09-10 11:10:00+0100,1
#BD.☺,2014-09-10 11:10:00+0100,1
"#android,",2014-09-10 11:10:00+0100,4
#ru_ff,2014-09-10 11:10:00+0100,1
#TiedUpThursday,2014-09-10 11:10:00+0100,1
